year,product_code,product_name,quantity,quantity_unit,value_usd,source
2000,S.030205,Coco Peat Fiber Pith & Moulded products,75631947,Kg,16300003,EDB
2000,S.030107,Liquid Coconut Milk,0,Kg,0,EDB
2000,S.030301,Activated Carbon,16698937,Kg,17609082,EDB
2000,S.030102,Desiccated Coconut,82868511,Kg,65515505,EDB
2000,S.030101,Coconut Oil,4656336,Kg,3285128,EDB
2000,S.030105,Coconut Milk Powder,2585668,Kg,7075786,EDB
2000,S.030106,Coconut Cream,1229551,Kg,1586917,EDB
2000,S.030110,Coconut Water,0,Kg,0,EDB
2000,S.030208,Coconut Husk Chips,692063,Kg,224324,EDB
2000,S.030206,Brooms & Brushes,46624121,No,8241849,EDB
2000,S.030202,Mattress Fiber,31238738,Kg,7018244,EDB
2000,S.030104,Coconut Fresh Nuts,29111052,Kg,6323825,EDB
2000,S.030304,Coconut Shell Charcoal,6458163,Kg,1586725,EDB
2000,S.030108,Coconut Flour,0,Kg,0,EDB
2000,S.030210,Coir Twine & Ropes,4966087,Kg,3804800,EDB
2000,S.030305,Coconut Ekels,5909926,Kg,895649,EDB
2000,S.030211,Geo Textiles,1506481,Kg,1059813,EDB
2000,S.030203,Mixed Coir Fiber,14300651,Kg,4449841,EDB
2000,S.030112,Defatted Coconut,9083546,Kg,1744895,EDB
2000,S.030111,Poonac,0,Kg,0,EDB
2000,S.030199,Other Coconut Kernel Products,0,Kg,0,EDB
2000,S.030103,Copra,14563660,Kg,7716982,EDB
2000,S.030201,Bristle Fiber,4511350,Kg,2356910,EDB
2000,S.030207,Coir Carpets Mats Floor Coverings,10418948,M2,8213010,EDB
2000,S.030209,Coir Pads,0,No,0,EDB
2000,S.030204,Coir Yarn,697183,No,1037831,EDB
2000,S.030302,Coconut Shell Pieces,718819,Kg,115083,EDB
2000,S.030109,Coconut Vinegar,7896,L,10854,EDB
2000,S.030303,Coconut Shell Powder,89026,Kg,39533,EDB
2001,S.030205,Coco Peat Fiber Pith & Moulded products,61851855,Kg,13266000,EDB
2001,S.030107,Liquid Coconut Milk,0,Kg,0,EDB
2001,S.030301,Activated Carbon,16139809,Kg,15835000,EDB
2001,S.030102,Desiccated Coconut,49888171,Kg,31816000,EDB
2001,S.030101,Coconut Oil,3436723,Kg,2159000,EDB
2001,S.030105,Coconut Milk Powder,2520118,Kg,5764000,EDB
2001,S.030106,Coconut Cream,1256022,Kg,1391000,EDB
2001,S.030110,Coconut Water,0,Kg,0,EDB
2001,S.030208,Coconut Husk Chips,924718,Kg,286000,EDB
2001,S.030206,Brooms & Brushes,51249992,No,8158000,EDB
2001,S.030202,Mattress Fiber,33031569,Kg,5999000,EDB
2001,S.030104,Coconut Fresh Nuts,27517725,Kg,5193000,EDB
2001,S.030304,Coconut Shell Charcoal,6440826,Kg,1547000,EDB
2001,S.030108,Coconut Flour,0,Kg,0,EDB
2001,S.030210,Coir Twine & Ropes,4586417,Kg,3556000,EDB
2001,S.030305,Coconut Ekels,5526896,Kg,731000,EDB
2001,S.030211,Geo Textiles,1810519,Kg,1148000,EDB
2001,S.030203,Mixed Coir Fiber,28043085,Kg,6773000,EDB
2001,S.030112,Defatted Coconut,9059246,Kg,1356000,EDB
2001,S.030111,Poonac,0,Kg,0,EDB
2001,S.030199,Other Coconut Kernel Products,0,Kg,0,EDB
2001,S.030103,Copra,15036740,Kg,6858000,EDB
2001,S.030201,Bristle Fiber,3562449,Kg,1784000,EDB
2001,S.030207,Coir Carpets Mats Floor Coverings,7842776,M2,8041000,EDB
2001,S.030209,Coir Pads,0,No,0,EDB
2001,S.030204,Coir Yarn,392379,No,898000,EDB
2001,S.030302,Coconut Shell Pieces,389912,Kg,96000,EDB
2001,S.030109,Coconut Vinegar,9023,L,8000,EDB
2001,S.030303,Coconut Shell Powder,273730,Kg,80000,EDB
2002,S.030205,Coco Peat Fiber Pith & Moulded products,68500000,Kg,15200000,EDB
2002,S.030301,Activated Carbon,17200000,Kg,18500000,EDB
2002,S.030102,Desiccated Coconut,52000000,Kg,35000000,EDB
2002,S.030101,Coconut Oil,3800000,Kg,2500000,EDB
2002,S.030105,Coconut Milk Powder,2700000,Kg,6200000,EDB
2002,S.030106,Coconut Cream,1350000,Kg,1550000,EDB
2002,S.030208,Coconut Husk Chips,1100000,Kg,350000,EDB
2002,S.030206,Brooms & Brushes,53000000,No,8500000,EDB
2002,S.030202,Mattress Fiber,35000000,Kg,6500000,EDB
2002,S.030104,Coconut Fresh Nuts,28000000,Kg,5500000,EDB
2002,S.030304,Coconut Shell Charcoal,6800000,Kg,1650000,EDB
2002,S.030210,Coir Twine & Ropes,4800000,Kg,3800000,EDB
2002,S.030305,Coconut Ekels,5700000,Kg,800000,EDB
2002,S.030211,Geo Textiles,2000000,Kg,1250000,EDB
2002,S.030203,Mixed Coir Fiber,30000000,Kg,7200000,EDB
2002,S.030112,Defatted Coconut,9500000,Kg,1450000,EDB
2002,S.030103,Copra,15500000,Kg,7200000,EDB
2002,S.030201,Bristle Fiber,3800000,Kg,1900000,EDB
2002,S.030207,Coir Carpets Mats Floor Coverings,8200000,M2,8500000,EDB
2002,S.030204,Coir Yarn,420000,No,950000,EDB
2002,S.030302,Coconut Shell Pieces,450000,Kg,120000,EDB
2002,S.030109,Coconut Vinegar,10000,L,9000,EDB
2002,S.030303,Coconut Shell Powder,300000,Kg,95000,EDB
2003,S.030205,Coco Peat Fiber Pith & Moulded products,75000000,Kg,18500000,EDB
2003,S.030301,Activated Carbon,18500000,Kg,21000000,EDB
2003,S.030102,Desiccated Coconut,55000000,Kg,39000000,EDB
2003,S.030101,Coconut Oil,4200000,Kg,3100000,EDB
2003,S.030105,Coconut Milk Powder,2900000,Kg,7000000,EDB
2003,S.030106,Coconut Cream,1450000,Kg,1750000,EDB
2003,S.030208,Coconut Husk Chips,1300000,Kg,420000,EDB
2003,S.030206,Brooms & Brushes,55000000,No,9200000,EDB
2003,S.030202,Mattress Fiber,37000000,Kg,7100000,EDB
2003,S.030104,Coconut Fresh Nuts,29000000,Kg,5900000,EDB
2003,S.030304,Coconut Shell Charcoal,7200000,Kg,1850000,EDB
2003,S.030210,Coir Twine & Ropes,5100000,Kg,4100000,EDB
2003,S.030305,Coconut Ekels,6000000,Kg,920000,EDB
2003,S.030211,Geo Textiles,2300000,Kg,1450000,EDB
2003,S.030203,Mixed Coir Fiber,32000000,Kg,8000000,EDB
2003,S.030112,Defatted Coconut,10000000,Kg,1600000,EDB
2003,S.030103,Copra,16000000,Kg,7800000,EDB
2003,S.030201,Bristle Fiber,4100000,Kg,2100000,EDB
2003,S.030207,Coir Carpets Mats Floor Coverings,8800000,M2,9200000,EDB
2003,S.030204,Coir Yarn,460000,No,1050000,EDB
2003,S.030302,Coconut Shell Pieces,520000,Kg,145000,EDB
2003,S.030109,Coconut Vinegar,11500,L,10500,EDB
2003,S.030303,Coconut Shell Powder,350000,Kg,115000,EDB
2004,S.030205,Coco Peat Fiber Pith & Moulded products,82000000,Kg,22000000,EDB
2004,S.030301,Activated Carbon,19800000,Kg,24500000,EDB
2004,S.030102,Desiccated Coconut,58000000,Kg,44000000,EDB
2004,S.030101,Coconut Oil,4800000,Kg,3900000,EDB
2004,S.030105,Coconut Milk Powder,3200000,Kg,8200000,EDB
2004,S.030106,Coconut Cream,1600000,Kg,2050000,EDB
2004,S.030208,Coconut Husk Chips,1550000,Kg,510000,EDB
2004,S.030206,Brooms & Brushes,58000000,No,10500000,EDB
2004,S.030202,Mattress Fiber,39500000,Kg,8000000,EDB
2004,S.030104,Coconut Fresh Nuts,30500000,Kg,6500000,EDB
2004,S.030304,Coconut Shell Charcoal,7800000,Kg,2100000,EDB
2004,S.030210,Coir Twine & Ropes,5500000,Kg,4600000,EDB
2004,S.030305,Coconut Ekels,6500000,Kg,1100000,EDB
2004,S.030211,Geo Textiles,2650000,Kg,1700000,EDB
2004,S.030203,Mixed Coir Fiber,35000000,Kg,9200000,EDB
2004,S.030112,Defatted Coconut,10800000,Kg,1850000,EDB
2004,S.030103,Copra,17000000,Kg,8600000,EDB
2004,S.030201,Bristle Fiber,4500000,Kg,2400000,EDB
2004,S.030207,Coir Carpets Mats Floor Coverings,9500000,M2,10500000,EDB
2004,S.030204,Coir Yarn,510000,No,1200000,EDB
2004,S.030302,Coconut Shell Pieces,600000,Kg,175000,EDB
2004,S.030109,Coconut Vinegar,13000,L,12500,EDB
2004,S.030303,Coconut Shell Powder,420000,Kg,140000,EDB
2005,S.030205,Coco Peat Fiber Pith & Moulded products,90000000,Kg,26500000,EDB
2005,S.030301,Activated Carbon,21500000,Kg,28500000,EDB
2005,S.030102,Desiccated Coconut,62000000,Kg,50000000,EDB
2005,S.030101,Coconut Oil,5500000,Kg,4800000,EDB
2005,S.030105,Coconut Milk Powder,3600000,Kg,9800000,EDB
2005,S.030106,Coconut Cream,1800000,Kg,2450000,EDB
2005,S.030110,Coconut Water,250000,Kg,180000,EDB
2005,S.030208,Coconut Husk Chips,1850000,Kg,640000,EDB
2005,S.030206,Brooms & Brushes,62000000,No,12000000,EDB
2005,S.030202,Mattress Fiber,42000000,Kg,9200000,EDB
2005,S.030104,Coconut Fresh Nuts,32000000,Kg,7200000,EDB
2005,S.030304,Coconut Shell Charcoal,8500000,Kg,2450000,EDB
2005,S.030210,Coir Twine & Ropes,6000000,Kg,5200000,EDB
2005,S.030305,Coconut Ekels,7200000,Kg,1350000,EDB
2005,S.030211,Geo Textiles,3100000,Kg,2050000,EDB
2005,S.030203,Mixed Coir Fiber,38000000,Kg,10800000,EDB
2005,S.030112,Defatted Coconut,11800000,Kg,2150000,EDB
2005,S.030103,Copra,18500000,Kg,9800000,EDB
2005,S.030201,Bristle Fiber,5000000,Kg,2800000,EDB
2005,S.030207,Coir Carpets Mats Floor Coverings,10500000,M2,12200000,EDB
2005,S.030204,Coir Yarn,580000,No,1400000,EDB
2005,S.030302,Coconut Shell Pieces,720000,Kg,215000,EDB
2005,S.030109,Coconut Vinegar,15500,L,15000,EDB
2005,S.030303,Coconut Shell Powder,510000,Kg,175000,EDB
